Spices: Supply and disappearance,,,,,,,,,,,,,,,Filename: CTCSP,,Spices:  Supply and disappearance,,,,,,,,Filename: CTCSP,,Spices: Supply and disappearance,,,,,,,,Filename: CTCSP,
Year,"U.S. population, July 11",Production,,,,,Supply,,,,,,,,,,Supply--continued,,,,,,,,,,Supply--continued,,,,,Disappearance,,,,
,,,Dried chili peppers,,,,Imports4,,,,,,,,,,Imports--continued4,,,,,,,,,,Imports--continued4,,,,,,Exports,Net,Food disappearance,
,,Mustard,California,New Mexico,Total3,Total,Anise seed,Caraway seed,Fennel seed,"Anise seed, caraway seed, and fennel seed",Dried,Cassia5,Celery seed,Cinnamon,Cloves6,Coriander seed,Cumin seed,Ginger root,Mace,Mustard seed,Nutmeg,Paprika,"Pepper,",Pimento (allspice),Poppy seed,Sage,Sesame seed,Turmeric,Vanilla beans,Other spices8,Total imports,Total,,shipments,,
,,seed2,,,,production,,,,,capsicum,,,,,,,,,,,,black and,,,,,,,,,supply,,to ,Total,Per capita availability
,,,,,,,,,,,peppers,,,,,,,,,,,,white,,,,,,,,,,,Puerto Rico,,
,-- Millions --,"-------------------------------------------------------------------------------------------------------------------------- 1,000 pounds ------------------------------------------------------------------------------------------------------------------------------------------",,,,,,,,,,,,,,,"------------------------------------------------------------------------------------- 1,000 pounds --------------------------------------------------------------------------------------",,,,,,,,,,"----------------------------------------------------------------- 1,000 pounds --------------------------------------------------------------------",,,,,,,,,-- Pounds --
1966,196.560,"22,603.0","12,560.0","2,500.0","15,060.0","37,663.0",266.0,"7,150.0",765.0,,"14,512.0","10,583.0","2,725.0","2,313.0","2,098.0","3,465.0","3,452.0","5,223.0",529.0,"53,542.0","4,180.0","11,890.0","37,769.0","1,926.0","6,853.0","1,481.0","28,202.0","3,794.0","1,852.0","8,179.0","212,749.0","250,412.0","8,053.0",608.0,"241,751.0",1.2
1967,198.712,"22,520.0","12,680.0","5,000.0","17,680.0","40,200.0",548.0,"6,838.0",921.0,,"14,806.0","8,523.0","3,116.0","4,353.0","2,490.0","2,743.0","4,020.0","3,695.0",636.0,"68,740.0","3,675.0","11,726.0","56,142.0",882.0,"6,665.0","2,191.0","35,854.0","1,925.0","1,282.0","7,728.0","249,499.0","289,699.0","6,365.0",813.0,"282,521.0",1.4
1968,200.706,"20,512.0","16,320.0","7,500.0","23,820.0","44,332.0",369.0,"7,669.0",974.0,,"15,063.0","8,966.0","3,790.0","5,202.0","3,919.0","3,553.0","3,952.0","3,592.0",503.0,"63,763.0","4,106.0","12,863.0","53,092.0","1,022.0","8,073.0","2,687.0","33,993.0","3,384.0","2,160.0","7,459.0","250,154.0","294,486.0","6,792.0","1,309.0","286,385.0",1.4
1969,202.677,"25,277.0","14,280.0","10,000.0","24,280.0","49,557.0",553.0,"6,435.0",923.0,,"13,413.0","7,895.0","2,966.0","6,160.0",971.0,"2,675.0","5,170.0","4,970.0",607.0,"64,388.0","3,972.0","11,429.0","54,000.0",949.0,"5,426.0","2,583.0","38,818.0","3,126.0","1,903.0","7,124.0","246,456.0","296,013.0","6,799.0","1,263.0","287,951.0",1.4
1970,205.052,"27,126.0","16,780.0","12,500.0","29,280.0","56,406.0",350.0,"7,424.0",978.0,,"14,010.0","4,801.0","4,018.0","3,751.0","2,105.0","3,088.0","5,240.0","5,209.0",517.0,"85,322.0","3,934.0","12,665.0","47,847.0","1,565.0","6,593.0","2,336.0","42,661.0","4,214.0","2,239.0","9,730.0","270,597.0","327,003.0","7,956.0","1,089.0","317,958.0",1.6
1971,207.661,"28,976.0","12,560.0","15,000.0","27,560.0","56,536.0",540.0,"6,099.0","1,235.0",,"13,842.0","9,610.0","4,205.0","4,526.0","3,027.0","2,787.0","5,145.0","4,475.0",578.0,"96,979.0","3,629.0","9,432.0","59,275.0",888.0,"4,897.0","2,810.0","45,442.0","3,137.0","1,855.0","7,844.0","292,257.0","348,793.0","5,575.0","1,154.0","342,064.0",1.6
1972,209.896,"30,825.0","19,480.0","17,500.0","36,980.0","67,805.0",740.0,"7,292.0","1,251.0",,"13,260.0","8,840.0","3,713.0","5,180.0","2,896.0","3,499.0","7,423.0","5,895.0",590.0,"105,661.0","4,734.0","13,915.0","52,274.0","1,359.0","7,741.0","3,249.0","47,220.0","3,413.0","2,366.0","9,700.0","312,211.0","380,016.0","6,730.0","1,000.0","372,286.0",1.8
1973,211.909,"32,675.0","15,320.0","20,000.0","35,320.0","67,995.0",696.0,"3,916.0","1,458.0",,"13,585.0","11,545.0","3,340.0","4,955.0","1,887.0","3,811.0","6,771.0","6,950.0",582.0,"79,392.0","4,318.0","14,309.0","55,437.0","1,319.0","5,404.0","3,552.0","52,804.0","2,353.0","2,357.0","9,527.0","290,268.0","358,263.0","7,202.0",956.0,"350,105.0",1.7
1974,213.854,"34,524.0","20,420.0","22,500.0","42,920.0","77,444.0",527.0,"4,821.0","1,384.0",,"14,020.0","9,755.0","4,642.0","6,621.0","3,447.0","3,938.0","6,456.0","6,977.0",570.0,"81,266.0","4,215.0","26,091.0","56,140.0","1,721.0","4,092.0","2,845.0","57,260.0","3,490.0","2,153.0","9,554.0","311,985.0","389,429.0","9,066.0",879.0,"379,484.0",1.8
1975,215.973,"34,905.0","18,980.0","25,000.0","43,980.0","78,885.0",890.0,"5,416.0","1,671.0",,"9,076.0","9,132.0","4,291.0","3,772.0","2,308.0","5,447.0","5,526.0","6,167.0",448.0,"78,163.0","3,807.0","14,557.0","55,061.0","1,285.0","4,474.0","2,348.0","44,639.0","2,577.0","2,122.0","9,586.0","272,763.0","351,648.0","6,861.0","1,010.0","343,777.0",1.6
1976,218.035,"35,287.0","20,820.0","27,920.0","48,740.0","84,027.0","1,054.0","6,162.0","1,923.0",,"11,469.0","14,329.0","3,235.0","4,141.0","1,956.0","6,299.0","7,388.0","8,317.0",668.0,"91,269.0","4,267.0","13,441.0","58,428.0","1,724.0","5,597.0","2,879.0","63,159.0","3,520.0","2,236.0","10,333.0","323,794.0","407,821.0","8,093.0","1,252.0","398,476.0",1.8
1977,220.239,"35,668.0","23,780.0","33,200.0","56,980.0","92,648.0",831.0,"5,995.0","1,491.0",,"9,107.0","17,065.0","4,193.0","4,352.0","2,718.0","5,526.0","7,536.0","7,326.0",453.0,"73,185.0","4,145.0","10,388.0","58,370.0","1,450.0","9,197.0","3,075.0","63,516.0","2,461.0","3,425.0","10,214.0","306,019.0","398,667.0","9,691.0","1,218.0","387,758.0",1.8
1978,222.585,"36,049.0","18,780.0","34,400.0","53,180.0","89,229.0","1,078.0","6,810.0","1,997.0",,"9,840.0","17,009.0","4,761.0","1,961.0","2,524.0","9,433.0","7,360.0","7,918.0",565.0,"74,431.0","4,686.0","11,035.0","62,946.0","1,875.0","5,918.0","2,887.0","70,547.0","4,055.0","2,613.0","8,666.0","320,915.0","410,144.0","25,038.0","2,522.0","382,584.0",1.7
1979,225.055,"32,638.0","23,760.0","36,200.0","59,960.0","92,598.0","1,085.0","7,906.0","2,553.0",,"11,515.0","20,115.0","4,739.0","1,056.0","2,912.0","7,277.0","12,793.0","9,483.0",583.0,"63,219.0","5,305.0","12,274.0","60,071.0","1,075.0","5,213.0","3,244.0","70,766.0","3,395.0","1,095.0","10,140.0","317,814.0","410,412.0","23,632.0","2,045.0","384,735.0",1.7
1980,227.726,"29,226.0","23,420.0","46,800.0","70,220.0","99,446.0","1,177.0","6,838.0","2,616.0",,"11,397.0","20,040.0","4,594.0","1,986.0","2,106.0","8,553.0","7,993.0","9,195.0",470.0,"70,287.0","4,527.0","7,761.0","72,389.0","1,621.0","5,866.0","4,306.0","69,602.0","3,415.0",756.0,"13,801.0","331,296.0","430,742.0","21,014.0","2,316.0","407,412.0",1.8
1981,229.966,"25,815.0","30,580.0","49,000.0","79,580.0","105,395.0","1,156.0","6,683.0","3,122.0",,"11,725.0","18,612.0","4,499.0","1,959.0","2,082.0","10,281.0","10,420.0","9,653.0","1,119.0","82,304.0","4,856.0","9,919.0","68,600.0","1,879.0","6,266.0","3,299.0","83,673.0","4,106.0","1,411.0","16,616.0","364,240.0","469,635.0","20,033.0","2,300.0","447,302.0",1.9
1982,232.188,"22,403.0","17,920.0","49,600.0","67,520.0","89,923.0","1,366.0","7,916.0","3,042.0",,"13,010.0","19,208.0","4,319.0","1,920.0","2,440.0","9,902.0","8,889.0","10,594.0",493.0,"75,383.0","5,394.0","9,015.0","67,490.0","1,158.0","7,305.0","3,210.0","73,221.0","3,537.0","1,948.0","27,871.0","358,631.0","448,554.0","22,172.0","2,361.0","424,021.0",1.8
1983,234.307,"23,419.0","15,501.0","55,000.0","70,501.0","93,920.0","1,439.0","7,362.0","3,840.0",,"15,958.0","20,174.0","5,095.0","2,332.0","1,479.0","9,223.0","7,039.0","8,028.0",620.0,"77,412.0","4,602.0","11,111.0","69,756.0","1,676.0","6,836.0","3,376.0","94,333.0","3,528.0","2,155.0","33,803.0","391,177.0","485,097.0","25,880.0","2,319.0","456,898.0",1.9
1984,236.348,"24,435.0","20,160.0","54,400.0","74,560.0","98,995.0","1,896.0","8,758.0","4,379.0",,"17,306.0","24,530.0","4,796.0","6,152.0","2,361.0","13,978.0","9,700.0","9,915.0",517.0,"92,217.0","4,455.0","14,726.0","84,480.0","1,915.0","9,581.0","4,182.0","81,038.0","3,944.0","1,855.0","31,796.0","434,477.0","533,472.0","26,206.0","2,117.0","505,149.0",2.1
1985,238.466,"25,450.0","20,060.0","59,800.0","79,860.0","105,310.0","2,135.0","7,931.0","3,545.0",,"16,466.0","24,691.0","5,618.0","3,303.0","2,475.0","5,438.0","8,688.0","12,404.0",690.0,"99,735.0","4,701.0","19,062.0","71,101.0","1,540.0","7,847.0","4,405.0","82,307.0","4,630.0","1,638.0","30,666.0","421,016.0","526,326.0","19,420.0","1,625.0","505,281.0",2.1
1986,240.651,"26,466.0","17,480.0","70,720.0","88,200.0","114,666.0","1,854.0","7,662.0","4,490.0",,"16,696.0","24,911.0","5,712.0","1,966.0","1,916.0","6,981.0","7,300.0","10,764.0",423.0,"96,098.0","3,755.0","12,379.0","83,206.0","1,424.0","10,558.0","4,660.0","80,061.0","4,422.0","2,311.0","37,653.0","427,202.0","541,868.0","28,937.0","2,749.0","510,182.0",2.1
1987,242.804,"17,324.0","16,580.0","72,364.0","88,944.0","106,268.0","2,626.0","8,629.0","5,292.0",,"20,392.0","30,081.0","4,272.0","2,345.0","2,239.0","7,258.0","10,359.0","10,744.0",699.0,"114,804.0","4,730.0","11,612.0","80,118.0","1,919.0","8,325.0","4,388.0","80,507.0","4,258.0","3,059.0","37,320.0","455,976.0","562,244.0","31,513.0","2,479.0","528,252.0",2.2
1988,245.021,"17,179.0","19,680.0","72,404.0","92,084.0","109,263.0","1,709.0","6,211.0","3,847.0",,"22,301.0","21,668.0","4,965.0","1,797.0","2,554.0","13,047.0","8,103.0","10,291.0",367.0,"103,130.0","3,354.0","10,738.0","69,611.0","1,976.0","8,141.0","3,655.0","73,074.0","3,598.0","2,682.0","40,826.0","417,645.0","526,908.0","31,673.0","2,694.0","492,541.0",2.0
