StatusType,County,District,School,Street,City,Zip,State,OpenDate,ClosedDate,Charter,FundingType,DOC,DOCType,SOC,SOCType,EdOpsName,EILName,GSoffered,Virtual,Magnet,Latitude,Longitude,LastUpdate
Active,Alameda,Alameda County Office of Education,,313 West Winton Avenue,Hayward,94544-1136,CA,,,,,00,County Office of Education (COE),,,,,,,,37.658212,-122.09713,2/2/2017
Active,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,1515 Webster Street,Oakland,94612-3355,CA,8/28/2006,,Y,Directly funded,00,County Office of Education (COE),66,High Schools (Public),Traditional,High School,9-12,N,N,37.804520,-122.26815,6/18/2015
Active,Alameda,Alameda County Office of Education,Community School for Creative Education,2111 International Boulevard,Oakland,94606-4903,CA,8/22/2011,,Y,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),Traditional,Elementary,K-8,N,N,37.784648,-122.23863,7/18/2016
Active,Alameda,Alameda County Office of Education,Yu Ming Charter,1086 Alcatraz Avenue,Oakland,94608-1265,CA,8/9/2011,,Y,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),Traditional,Elementary,K-8,N,N,37.847375,-122.28356,5/10/2016
Active,Alameda,Alameda County Office of Education,Urban Montessori Charter,5328 Brann Street,Oakland,94619-3312,CA,8/27/2012,,Y,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),Traditional,Elementary,K-8,N,N,37.778352,-122.18950,10/9/2015
Active,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,2500 Fairmont Avenue,San Leandro,94578-1005,CA,7/1/1980,,N,,00,County Office of Education (COE),14,Juvenile Court Schools,Juvenile Court School,High School,K-12,N,N,37.712878,-122.11173,11/10/2016
Active,Alameda,Alameda County Office of Education,Alameda County Community,313 West Winton Avenue,Hayward,94544-1136,CA,7/1/1980,,N,,00,County Office of Education (COE),10,County Community,County Community School,High School,K-12,C,N,37.658212,-122.09713,12/7/2016
Active,Alameda,Alameda County Office of Education,Oakland Unity Middle,7200 Bancroft Avenue # 261,Oakland,94605-2403,CA,8/23/2015,,Y,Directly funded,00,County Office of Education (COE),62,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,N,N,37.767642,-122.17770,8/17/2016
Active,Alameda,Alameda County Office of Education,Cox Academy,9860 Sunnyside Street,Oakland,94603-2750,CA,7/1/1980,,Y,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),Traditional,Elementary,P-5,N,N,37.746513,-122.16182,8/23/2016
Active,Alameda,Alameda County Office of Education,Lazear Charter Academy,824 29th Avenue,Oakland,94601-2205,CA,7/1/1980,,Y,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),Traditional,Elementary,K-8,N,N,37.776239,-122.23207,8/23/2016
Active,Alameda,Alameda County Office of Education,Alameda County Special Education,313 West Winton Avenue,Hayward,94544-1136,CA,7/1/1980,,N,,00,County Office of Education (COE),09,Special Education Schools (Public),Special Education School,Preschool,P,N,N,37.658212,-122.09713,10/13/2015
Active,Alameda,California School for the Blind (State Special Schl),,500 Walnut Avenue,Fremont,94536-4365,CA,,,,,31,State Special Schools,,,,,,,,37.562576,-121.96563,1/13/2017
Active,Alameda,California School for the Blind (State Special Schl),California School for the Blind,500 Walnut Avenue,Fremont,94536-4365,CA,7/1/1980,,N,,31,State Special Schools,31,State Special Schools,State Special School,Elementary-High Combination,K-Adult,N,Y,37.562576,-121.96563,11/10/2016
Active,Alameda,California School for the Deaf-Fremont (State Special Schl),,39350 Gallaudet Drive,Fremont,94538-2308,CA,,,,,31,State Special Schools,,,,,,,,37.558956,-121.96551,8/31/2016
Active,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,39350 Gallaudet Drive,Fremont,94538-2308,CA,7/1/1980,,N,,31,State Special Schools,31,State Special Schools,State Special School,Elementary-High Combination,P-12,N,N,37.558956,-121.96551,8/31/2016
Active,Alameda,Alameda Unified,,2060 Challenger Dr,Alameda,94501-1037,CA,,,,,54,Unified School District,,,,,,,,37.782147,-122.27009,6/26/2015
Active,Alameda,Alameda Unified,Alameda Science and Technology Institute,555 Atlantic Avenue,Alameda,94501-2109,CA,8/19/2004,,N,,54,Unified School District,63,Alternative Schools of Choice,Alternative School of Choice,High School,9-12,N,Y,37.779884,-122.28052,11/9/2016
Active,Alameda,Alameda Unified,Ruby Bridges Elementary,351 Jack London Avenue,Alameda,94501-3901,CA,8/28/2006,,N,,54,Unified School District,60,Elementary Schools (Public),Traditional,Elementary,K-5,N,N,37.781834,-122.28614,11/4/2016
Active,Alameda,Alameda Unified,Nea Community Learning Center,1900 Third Street,Alameda,94501-1851,CA,8/31/2009,,Y,Directly funded,54,Unified School District,65,K-12 Schools (Public),Traditional,Elementary-High Combination,K-12,N,N,37.779051,-122.28703,9/11/2015
Active,Alameda,Alameda Unified,The Academy of Alameda,401 Pacific Avenue,Alameda,94501-1837,CA,8/30/2010,,Y,Directly funded,54,Unified School District,62,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,N,N,37.776497,-122.28582,9/30/2015
Active,Alameda,Alameda Unified,Maya Lin,825 Taylor Street,Alameda,94501-3411,CA,7/1/2012,,N,,54,Unified School District,63,Alternative Schools of Choice,Alternative School of Choice,Elementary,K-8,N,Y,37.772724,-122.27189,11/9/2016
Active,Alameda,Alameda Unified,Alameda Adult,1300 Third Street,Alameda,94501,CA,7/1/1980,,N,,54,Unified School District,70,Adult Education Centers,Traditional,Adult,Adult,N,,37.770867,-122.28850,1/29/2016
Active,Alameda,Alameda Unified,Alameda High,2201 Encinal Avenue,Alameda,94501-4406,CA,7/1/1980,,N,,54,Unified School District,66,High Schools (Public),Traditional,High School,9-12,N,N,37.764294,-122.24807,6/18/2015
